127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:43:18, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.024000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.028000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:43:19, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:43:30, GET, /courses/assignment/1, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-15 15:43:38, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:51:58, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:51:59, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 16:23:51, GET, /courses/list.jso, HTTP/1.1, 404, 0.044000
127.0.0.1, 2016-02-15 16:23:53, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-02-15 16:23:56, GET, /courses/list.json, HTTP/1.1, 200, 0.046000
127.0.0.1, 2016-02-15 16:24:41, GET, /​ ​default/grades.json, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-02-15 16:24:45, GET, /​default/grades.json, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-15 16:24:49, GET, /​default/grades.json, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-02-15 16:24:52, GET, /courses/list.json, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-15 16:25:07, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.010000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.011000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-02-15 16:25:09, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:25:14, GET, /courses/list.json, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-15 16:25:24, GET, /default/grades.json, HTTP/1.1, 500, 0.067000
127.0.0.1, 2016-02-15 16:25:36, GET, /admin/default/ticket/MoodlePlus/127.0.0.1.2016-02-15.16-25-24.034c3f2d-4889-4954-b54a-1dde330e3982, HTTP/1.1, 303, 0.300000
127.0.0.1, 2016-02-15 16:27:15, GET, /courses/list.json, HTTP/1.1, 200, 0.128000
127.0.0.1, 2016-02-15 16:41:36, GET, /courses/list.json, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-02-15 16:41:43, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-02-15 16:41:44, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:41:45, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:41:45, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:41:45, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-02-15 16:43:13, GET, /courses/list.json, HTTP/1.1, 200, 0.049000
127.0.0.1, 2016-02-15 16:44:05, GET, /threads/post_comment.json, HTTP/1.1, 303, 0.115000
127.0.0.1, 2016-02-15 16:44:06, GET, /user.json/login, HTTP/1.1, 200, 0.125000
